ID,BIDS,group,orderNumber,block,acq,startBlock,endBlock,timingCorrection,jitterVideo_trial,jitterRating_trial,stimID,vidFileName,trial,tTrialStart,tTrialEnd,durationTrial,fixationInitialDuration,displayVidOnset,displayVidOffset,displayVidDuration,displayBlankDuration,fixationPostVidOnset,fixationPostVidDuration,displayAnswerOnset,displayAnswerDuration,timeoutAnswer,responseAnswer,timestampAnswer,timestampAnswerWhite,rtAnswer,answer_tooSlow,fixationPostAnswerOnset,fixationPostAnswerDuration,betweenRatingFixation,displayCuriosityOnset,displayCuriosityDuration,timeoutCuriosity,responseCuriosity,rC_mean,rC_mean-centered,timestampCuriosity,timestampCuriosityWhite,rtCuriosity,startValueCuriosity,clicksCuriosity,fixationPostCuriosityOnset,fixationPostCuriosityDuration,curiosity_tooSlow,mockOffset,cueImage,momentOfSurprise_1,momentOfSurprise_2,momentOfSurprise_3,momentOfSurprise_4,momentOfSurprise_5,momentOfSurprise_6,momentOfSurprise_7,additionalMarker_momentOfSurprise_1,additionalMarker_momentOfSurprise_2,trialRecall,responseRecall,cuedRecallStrict,cuedRecallLenient,Flagging,Comments,trialRecognition,responseRecognition,rtRecognition,responseConfidence,rtConfidence,recognition,recognitionConfLevel_4_5_6,rememberedStrictHigh,rememberedLenientHigh
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,8,K21_long,11_K21_long_combined_small.mp4,21,482.0121088,557.9947638,75.982655,NA,483.9961355,533.8006358,49.80450029,0.195945334,533.9965812,4.000280101,537.9968613,5.997587336,6,21 to 30,538.5583186,538.6113187,0.56145737,0,543.9944486,0.04553765399,0.05,544.0399863,5.955044186,5.95,6,,1.25,547.7347284,547.8280587,3.694742143,6,2,549.9950304,7.999733397,0,490.0313322,506.0818861,522.1106827,526.0796032,NA,NA,NA,NA,NA,NA,NA,29,no recall,0,0,NA,,35,The magician places a card between two other cards and makes it disappear.,281920,5,4818,0,0,0,0
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,4,K3,31_K3_combined_small.mp4,22,558.0105118,611.9955008,53.984989,NA,559.9953453,591.9262922,31.93094691,0.066714063,591.9930062,4.001654285,595.9946605,5.999444697,6,21 to 30,597.5311054,597.5777142,1.536444926,0,601.9941052,0.049714655,0.05,602.0438199,5.950287174,5.95,4,,-0.75,604.1038285,604.1936082,2.060008616,6,2,607.994107,4.001393734,0,566.025641,568.143706,582.0191786,587.1804432,NA,NA,NA,NA,NA,NA,NA,8,no recall,0,0,NA,,8,The magician changes the colour of the leaf several times.,230441,1,5164,0,0,0,0
1,sub-control001,cont,1,2,1,0,NA,0.008331790017,4,4,K19_long,14_K19_long_combined_small.mp4,23,612.01303,671.993856,59.98082597,NA,613.9908638,651.8462775,37.85541365,0.139599805,651.9858773,4.003247914,655.9891252,6.004693425,6,0 to 10,656.8056684,656.8543411,0.816543177,0,661.9938186,0.04841853201,0.05,662.0422371,5.951666858,5.95,4,,-0.75,665.1077855,665.1932944,3.065548315,7,3,667.993904,3.999952013,0,619.9983894,623.1129744,633.1070423,637.0265119,645.029429,647.2296889,NA,NA,NA,NA,NA,22,no recall,0,0,NA,,32,The red balls are placed under the mug and merge to become a form a larger ball.,262594,1,3645,0,0,0,0
1,sub-control001,cont,1,2,1,0,727.9916202,0.008331790017,10,4,S31,27_S31_combined_small.mp4,24,672.0091667,727.9914481,55.98228135,NA,673.9936565,701.0387866,27.04513018,0.948960427,701.9877471,10.00509268,711.9928398,6.000497649,6,11 to 20,713.3177643,713.3626212,1.324924538,0,717.9933374,0.04931704199,0.05,718.0426544,5.950354593,5.95,1,,-3.75,720.4969986,720.5670576,2.454344153,3,2,723.993009,3.99843905,0,680.0246699,692.0284366,693.2284097,694.0286566,NA,NA,NA,NA,NA,NA,NA,3,NO recall,0,0,NA,,3,The magician transforms the envelope into a £10 note.,288093,5,5008,0,0,0,0
1,sub-control001,cont,1,3,1,0,NA,0.008331790017,4,8,S9,04_S9_combined_small.mp4,25,0.00053166,65.99978003,65.99924837,NA,2.001104098,40.49781577,38.49671167,1.502724932,42.0005407,4.000401411,46.00094211,5.999595521,6,0 to 10,48.34186277,48.38609569,2.340920657,0,52.00053763,0.04881737599,0.05,52.04935501,5.950486244,5.95,6,,1.25,54.5608298,54.64876205,2.511474796,7,1,57.99984125,7.999938781,0,8.035751646,8.235674735,31.07724326,32.11788402,NA,NA,NA,NA,NA,NA,NA,15,All the cards were turned to white by moving the magician hand from one side to other,1,1,NA,,1,The cards magically change their appearance.,247988,6,5710,1,1,1,1
1,sub-control001,cont,1,3,1,0,NA,0.008331790017,4,4,S27,10_S27_combined_small.mp4,26,66.01874437,125.9933825,59.97463817,NA,67.999576,105.6134363,37.61386032,0.385255072,105.9986914,4.000132299,109.9988237,6.000278172,6,11 to 20,112.1347538,112.1816326,2.135930131,0,115.9991019,0.04874108199,0.05,116.047843,5.950010491,5.95,5,,0.25,119.5527592,119.6307558,3.504916245,7,2,121.9978534,3.995529103,0,74.03437046,75.03483221,101.0770898,NA,NA,NA,NA,NA,NA,NA,NA,19,he pored the water into one of the glass and transferred it to bottle again which was crashed. Don't remember exactly,0,0,NA,,17,"Although the magician pours water into both cups, the water bottle seems to refill itself magically whenever the magician snaps his fingers.",259093,5,4974,0,0,0,0
1,sub-control001,cont,1,3,1,0,NA,0.008331790017,4,4,Trick28,24_Trick28_combined_small.mp4,27,126.0145214,195.9976451,69.98312362,NA,127.9982694,174.4961306,46.49786127,1.499834607,175.9959652,4.001124248,179.9970895,6.000251707,6,31 or more,180.4862635,180.5303688,0.489174045,0,185.9973412,0.05017679799,0.05,186.047518,5.950192114,5.95,6,,1.25,188.9566818,189.0375051,2.909163793,6,0,191.9977101,3.999934944,0,134.0011845,144.0750692,145.0749162,153.0310187,159.0012073,164.0328511,168.1500055,173.0790053,NA,NA,NA,28,rings were hanging one to one as he dropped from his hand,1,1,NA,,14,The magician links and unlinks several silver rings while they keep their shape.,223638,6,5427,1,1,1,1
1,sub-control001,cont,1,3,1,0,NA,0.008331790017,4,4,K24,28_K24_combined_small.mp4,28,196.0176752,249.9963405,53.97866526,NA,197.997231,228.2493621,30.25213107,1.7485101,229.9978722,3.999457594,233.9973298,5.999190554,6,21 to 30,234.459938,234.5038117,0.462608273,0,239.9965203,0.04479377701,0.05,240.0413141,5.955275395,5.95,5,,0.25,242.5660922,242.6436068,2.524778057,7,2,245.9965895,3.999750997,0,204.0002056,206.1533704,221.1140648,222.2310508,NA,NA,NA,NA,NA,NA,NA,5,10£ converted to 20£ just by folding the note to the smaller version and opening by flipping and moving  to 20£,1,1,NA,,22,A £10 note is transformed into a £20  note.,197014,6,3996,1,1,1,1
1,sub-control001,cont,1,3,1,0,NA,0.008331790017,6,4,S25,25_S25_combined_small.mp4,29,250.0173352,333.995723,83.9783878,NA,251.9957771,310.6808759,58.68509881,1.315618206,311.9964941,5.998854151,317.9953482,6.00079735,6,0 to 10,318.893743,318.9456915,0.898394807,0,323.9961456,0.04974175101,0.05,324.0458873,5.951332464,5.95,6,,1.25,327.3338233,327.404035,3.287935935,7,3,329.9972198,3.998503199,0,258.0317517,281.1146787,287.1481703,300.2322181,NA,NA,NA,NA,NA,NA,NA,1,no recall,0,0,NA,,29,The magician makes a silk handkerchief appear inside a bread roll.,271761,1,3837,1,0,0,0
1,sub-control001,cont,1,3,1,0,NA,0.008331790017,4,4,S18,15_S18_combined_small.mp4,30,334.0137858,393.9956838,59.98189798,NA,335.9934827,373.9630763,37.96959356,0.03277598901,373.9958523,3.996675555,377.9925278,6.001866657,6,11 to 20,378.6489475,378.6939412,0.656419733,0,383.9943945,0.04980798801,0.05,384.0442025,5.950864571,5.95,4,,-0.75,387.196677,387.2771693,3.152474547,2,2,389.995067,4.000616726,0,342.0305842,350.1898065,353.2251684,359.1123724,368.0642244,NA,NA,NA,NA,NA,NA,17,he took number of items from the empty cover,1,1,NA,,33,The magician pulls three boxes containing flowers from a paper bag.,277820,5,3489,1,1,1,1
